Seq No.,Location,AccX,AccY,AccZ,Classs
7,Kidnapping,-4.289999962,5.362999916,7.815000057,1
8,Kidnapping,-4.136000156,4.44299984,9.194000244,1
9,Kidnapping,19.30800056,-13.63700008,8.734000206,1
10,Kidnapping,-7.660999775,3.371000051,5.210000038,1
11,Kidnapping,-10.87899971,3.063999891,8.734000206,1
12,Kidnapping,0.460000008,4.597000122,2.911000013,1
13,Kidnapping,-9.958999634,4.902999878,7.967999935,1
14,Kidnapping,-10.57199955,4.289999962,9.5,1
15,Kidnapping,-4.596000195,5.515999794,4.902999878,1
16,Kidnapping,-4.902999878,9.347000122,9.5,1
17,Kidnapping,-7.81400013,9.347000122,8.734000206,1
18,Kidnapping,-5.514999866,5.209000111,4.289999962,1
19,Kidnapping,-3.98300004,2.757999897,-2.604000092,1
20,Kidnapping,-4.902999878,6.742000103,-3.98300004,1
21,Kidnapping,-1.838000059,6.434999943,0.458999991,1
22,Kidnapping,-0.458999991,7.047999859,0.305999994,1
23,Kidnapping,2.451999903,7.355000019,-1.531999946,1
24,Kidnapping,2.144999981,7.81400013,-4.137000084,1
25,Kidnapping,1.225999951,9.039999962,-3.063999891,1
26,Kidnapping,2.451999903,6.129000187,-4.289999962,1
27,Kidnapping,6.282999992,5.822000027,-4.75,1
28,Kidnapping,3.371000051,9.80700016,-2.604000092,1
29,Kidnapping,5.210000038,9.960000038,0,1
30,Kidnapping,4.137000084,5.209000111,-2.450999975,1
31,Kidnapping,10.2670002,7.507999897,-11.18500042,1
32,Kidnapping,-2.298000097,9.039999962,1.225999951,1
33,Kidnapping,7.662000179,10.11299992,-3.677000046,1
34,Kidnapping,-0.305999994,8.887000084,1.684999943,1
35,Kidnapping,-0.458999991,8.12100029,0.152999997,1
36,Kidnapping,1.991999984,6.894999981,1.225999951,1
37,Kidnapping,-7.507999897,8.581000328,-0.305999994,1
38,Kidnapping,-3.217000008,10.57299995,-5.056000233,1
39,Kidnapping,-11.79800034,6.589000225,0.91900003,1
40,Kidnapping,-9.19299984,7.047999859,-0.458999991,1
41,Kidnapping,-6.894999981,6.282000065,0.91900003,1
42,Kidnapping,-6.282000065,7.660999775,0.305999994,1
43,Kidnapping,-9.958999634,9.039999962,-1.531999946,1
44,Kidnapping,-7.201000214,6.742000103,2.298000097,1
45,Kidnapping,-4.902999878,8.12100029,1.531999946,1
46,Kidnapping,-5.974999905,8.274000168,2.298000097,1
47,Kidnapping,-4.44299984,8.887000084,2.144999981,1
48,Kidnapping,-3.523000002,8.427000046,2.450999975,1
49,Kidnapping,-5.514999866,7.202000141,0.765999973,1
50,Kidnapping,-4.902999878,7.355000019,-0.458999991,1
1,Kidnapping,0.305999994,3.983999968,10.57299995,1
2,Kidnapping,-5.669000149,3.983999968,9.654000282,1
3,Kidnapping,-0.917999983,5.056000233,4.137000084,1
4,Kidnapping,-3.98300004,5.515999794,13.02499962,1
5,Kidnapping,-4.44299984,4.597000122,11.95199966,1
6,Kidnapping,-3.369999886,7.355000019,7.967999935,1
7,Kidnapping,-3.98300004,7.660999775,5.822999954,1
8,Kidnapping,-4.289999962,7.660999775,3.983999968,1
9,Kidnapping,-4.44299984,7.202000141,0.152999997,1
10,Kidnapping,0.612999976,6.589000225,-0.764999986,1
11,Kidnapping,0.460000008,8.274000168,0.152999997,1
12,Kidnapping,2.451999903,7.967999935,-6.282000065,1
13,Kidnapping,2.451999903,8.12100029,-1.378000021,1
14,Kidnapping,1.072999954,11.18599987,-4.44299984,1
15,Kidnapping,-0.152999997,10.41899967,-1.225000024,1
16,Kidnapping,1.531999946,9.347000122,-1.684999943,1
17,Kidnapping,2.298000097,8.734000206,-0.764999986,1
